Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-1426,30947;2972,61894;3192,39656
GTR;+G+I;61;-1425,48314;2972,96628;3196,40686
TN93;+G;57;-1433,82507;2981,65014;3190,43888
GTR;+I;60;-1434,36938;2988,73876;3208,51638
GTR;;59;-1518,70477;3155,40954;3371,52420
