Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-587,22945;1294,45890;1470,52733
TN93;+G;57;-591,03343;1296,06686;1463,33187
GTR;+G+I;61;-587,14128;1296,28256;1475,28546
GTR;+I;60;-592,32025;1304,64050;1480,70893
GTR;;59;-606,04606;1330,09212;1503,22608
