Model;Decoration;K;Llk;AIC;BIC
GTR;+G+I;61;-1336,48883;2794,97766;2990,42206
TN93;+G+I;58;-1340,15943;2796,31886;2982,15124
GTR;+G;60;-1343,55515;2807,11030;2999,35070
GTR;+I;60;-1354,56554;2829,13108;3021,37148
GTR;;59;-1482,72555;3083,45110;3272,48749
