Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-2022,29529;4164,59058;4403,77770
GTR;+G+I;61;-2022,29811;4166,59622;4409,76979
GTR;+I;60;-2038,89796;4197,79592;4436,98304
TN93;+G;57;-2046,84119;4207,68238;4434,91014
GTR;;59;-2112,73580;4343,47160;4578,67226
