Model;Decoration;K;Llk;AIC;BIC
GTR;+G+I;61;-1581,37290;3284,74580;3508,81851
GTR;+G;60;-1583,12753;3286,25506;3506,65445
TN93;+G+I;58;-1590,81478;3297,62956;3510,68230
GTR;+I;60;-1599,80103;3319,60206;3540,00145
GTR;;59;-1665,47730;3448,95460;3665,68067
