Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-1148,64853;2417,29706;2614,59308
GTR;+G+I;61;-1148,56230;2419,12460;2619,70888
GTR;+I;60;-1152,58798;2425,17596;2622,47198
TN93;+G;57;-1156,78521;2427,57042;2615,00164
GTR;;59;-1168,69826;2455,39652;2649,40427
