Model;Decoration;K;Llk;AIC;BIC
HKY85;+I;56;-945,30863;2002,61726;2199,59462
K80;+I;53;-948,74783;2003,49566;2189,92066
TN93;+I;57;-945,26968;2004,53936;2205,03417
HKY85;+G+I;57;-945,31583;2004,63166;2205,12647
HKY85;+G;56;-946,64721;2005,29442;2202,27178
GTR;+I;60;-943,34739;2006,69478;2217,74195
GTR;+G+I;61;-943,36915;2008,73830;2223,30292
GTR;+G;60;-945,47372;2010,94744;2221,99461
HKY85;;55;-968,85833;2047,71666;2241,17656
GTR;;59;-965,44780;2048,89560;2256,42532
