Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-1611,22620;3342,45240;3602,12860
GTR;+G+I;61;-1610,59999;3343,19998;3607,20412
GTR;+I;60;-1612,22147;3344,44294;3604,11914
TN93;+G;57;-1622,17526;3358,35052;3605,04291
GTR;;59;-1639,61310;3397,22620;3652,57447
