Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-1255,53830;2631,07660;2840,66028
GTR;+G+I;61;-1255,33991;2632,67982;2845,75656
TN93;+G;57;-1268,62776;2651,25552;2850,36002
GTR;+I;60;-1269,73302;2659,46604;2869,04972
GTR;;59;-1300,98404;2719,96808;2926,05870
