Model;Decoration;K;Llk;AIC;BIC
GTR;+G+I;61;-1768,51737;3659,03474;3924,86311
GTR;+G;60;-1770,20858;3660,41716;3921,88769
GTR;+I;60;-1773,50546;3667,01092;3928,48145
TN93;+G+I;58;-1781,21614;3678,43228;3931,18713
GTR;;59;-1821,86019;3761,72038;4018,83307
