Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-1366,57721;2853,15442;3078,68852
GTR;+G+I;61;-1366,57714;2855,15428;3084,44728
GTR;+I;60;-1369,10318;2858,20636;3083,74046
TN93;+G;57;-1377,40204;2868,80408;3083,06148
GTR;;59;-1411,08326;2940,16652;3161,94172
