Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-2551,41337;5222,82674;5491,90485
GTR;+G+I;61;-2551,41645;5224,83290;5498,39564
TN93;+G;57;-2560,05685;5234,11370;5489,73790
GTR;+I;60;-2557,16941;5234,33882;5503,41693
GTR;;59;-2579,39199;5276,78398;5541,37745
