Model;Decoration;K;Llk;AIC;BIC
K80;+G;53;-393,85459;893,70918;1026,19909
K80;+G+I;54;-392,94916;893,89832;1028,88804
HKY85;+G;56;-391,74845;895,49690;1035,48624
TN93;+G;57;-391,49081;896,98162;1039,47077
K80;+I;53;-397,78839;901,57678;1034,06669
GTR;+G;60;-390,84562;901,69124;1051,67982
GTR;+G+I;61;-389,99368;901,98736;1054,47574
GTR;+I;60;-394,30185;908,60370;1058,59228
K80;;52;-425,70871;955,41742;1085,40752
GTR;;59;-421,76083;961,52166;1109,01043
