Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-694,46804;1508,93608;1693,44650
GTR;+I;60;-694,67422;1509,34844;1693,85886
TN93;+G;57;-698,47786;1510,95572;1686,24062
GTR;+G+I;61;-694,51163;1511,02326;1698,60886
GTR;;59;-703,75420;1525,50840;1706,94365
