Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-5289,52641;10699,05282;11005,05444
GTR;+G+I;61;-5289,26455;10700,52910;11011,63075
TN93;+G;57;-5294,41586;10702,83172;10993,53326
GTR;+I;60;-5291,92465;10703,84930;11009,85092
GTR;;59;-5313,95394;10745,90788;11046,80948
