Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-4953,03360;10026,06720;10309,64120
GTR;+G+I;61;-4952,84760;10027,69520;10315,99543
TN93;+G;57;-4963,29418;10040,58836;10309,98366
GTR;+I;60;-4979,90034;10079,80068;10363,37468
GTR;;59;-5062,68451;10243,36902;10522,21679
