Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-2267,11619;4654,23238;4890,32603
GTR;+G+I;61;-2266,83626;4655,67252;4895,70106
TN93;+G;57;-2278,28517;4670,57034;4894,85930
GTR;+I;60;-2284,94019;4689,88038;4925,97403
GTR;;59;-2358,13497;4834,26994;5066,42869
