Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-579,01576;1278,03152;1464,38824
GTR;+G+I;61;-578,80728;1279,61456;1469,07723
GTR;+I;60;-580,06587;1280,13174;1466,48846
TN93;+G;57;-586,18205;1286,36410;1463,40299
GTR;;59;-594,05914;1306,11828;1489,36906
