Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-567,09534;1254,19068;1424,36759
GTR;+I;60;-567,56257;1255,12514;1425,30205
GTR;+G+I;61;-567,09544;1256,19088;1429,20407
TN93;+G;57;-571,73590;1257,47180;1419,13986
GTR;;59;-571,87534;1261,75068;1429,09131
