Model;Decoration;K;Llk;AIC;BIC
TN93;+I;57;-381,20825;876,41650;1015,64762
TN93;+G+I;58;-381,18988;878,37976;1020,05353
TN93;+G;57;-382,29455;878,58910;1017,82022
GTR;+I;60;-379,58724;879,17448;1025,73355
GTR;+G+I;61;-379,59317;881,18634;1030,18806
HKY85;+I;56;-384,90008;881,80016;1018,58863
GTR;+G;60;-380,90269;881,80538;1028,36445
TN93;;56;-400,98662;913,97324;1050,76171
GTR;;59;-398,89012;915,78024;1059,89666
