Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-744,25386;1608,50772;1806,40676
GTR;+G+I;61;-744,25314;1610,50628;1811,70363
GTR;+I;60;-746,76907;1613,53814;1811,43718
TN93;+G;57;-750,51107;1615,02214;1803,02622
GTR;;59;-753,36972;1624,73944;1819,34016
