Model;Decoration;K;Llk;AIC;BIC
K80;+G;53;-693,51240;1493,02480;1656,99356
HKY85;+G;56;-691,09111;1494,18222;1667,43223
K80;+G+I;54;-693,23998;1494,47996;1661,54247
TN93;+G;57;-691,03965;1496,07930;1672,42306
K80;+I;53;-695,25288;1496,50576;1660,47452
GTR;+G;60;-690,39470;1500,78940;1686,41441
GTR;+G+I;61;-690,15291;1502,30582;1691,02458
GTR;+I;60;-692,13913;1504,27826;1689,90327
K80;;52;-709,75876;1523,51752;1684,39253
GTR;;59;-706,29709;1530,59418;1713,12544
