Model;Decoration;K;Llk;AIC;BIC
TN93;+I;57;-913,54236;1941,08472;2144,04357
TN93;+G;57;-913,63404;1941,26808;2144,22693
GTR;+G;60;-911,28929;1942,57858;2156,21947
GTR;+I;60;-911,36490;1942,72980;2156,37069
TN93;+G+I;58;-913,54056;1943,08112;2149,60065
GTR;+G+I;61;-911,30339;1944,60678;2161,80835
TN93;;56;-916,68752;1945,37504;2144,77321
HKY85;+G;56;-916,77672;1945,55344;2144,95161
GTR;;59;-914,27420;1946,54840;2156,62861
