Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-2455,04652;5030,09304;5280,64507
GTR;+G+I;61;-2454,72527;5031,45054;5286,17844
TN93;+G;57;-2464,50643;5043,01286;5281,03729
GTR;+I;60;-2463,14611;5046,29222;5296,84425
GTR;;59;-2550,89517;5219,79034;5466,16650
