Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-1950,78885;4021,57770;4252,70984
GTR;+G+I;61;-1950,77885;4023,55770;4258,54205
TN93;+G;57;-1957,24415;4028,48830;4248,06384
GTR;+I;60;-1963,48476;4046,96952;4278,10166
GTR;;59;-2021,07978;4160,15956;4387,43950
