Model;Decoration;K;Llk;AIC;BIC
GTR;+G;60;-2327,81364;4775,62728;5022,04865
GTR;+G+I;61;-2327,37285;4776,74570;5027,27409
TN93;+G;57;-2333,17891;4780,35782;5014,45812
GTR;+I;60;-2346,08408;4812,16816;5058,58953
GTR;;59;-2415,53114;4949,06228;5191,37663
