Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-2090,17171;4252,34342;4417,19646
GTR;+I;36;-2091,02873;4254,05746;4418,91050
GTR;+G+I;37;-2090,16339;4254,32678;4423,75907
GTR;;35;-2100,84784;4271,69568;4431,96947
TN93;+G;33;-2105,37126;4276,74252;4427,85780
