Model;Decoration;K;Llk;AIC;BIC
GTR;+I;36;-254,12314;580,24628;679,68454
GTR;;35;-255,20066;580,40132;677,07740
GTR;+G;36;-254,50172;581,00344;680,44170
GTR;+G+I;37;-254,20005;582,40010;684,60053
TN93;+I;33;-260,61248;587,22496;678,37669
