Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-20049,08313;40170,16626;40421,23427
GTR;+G+I;37;-20049,07758;40172,15516;40430,19728
GTR;+I;36;-20056,98708;40185,97416;40437,04217
GTR;;35;-20103,97487;40277,94974;40522,04364
TN93;+G;33;-20239,01119;40544,02238;40774,16806
