Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-5598,67083;11269,34166;11470,88403
GTR;+G+I;37;-5597,67638;11269,35276;11476,49353
GTR;+I;36;-5600,75381;11273,50762;11475,04999
TN93;+G;33;-5621,58669;11309,17338;11493,92055
GTR;;35;-5686,98678;11443,97356;11639,91753
