Model;Decoration;K;Llk;AIC;BIC
GTR;+I;36;-2089,82204;4251,64408;4425,82666
GTR;+G;36;-2090,20167;4252,40334;4426,58592
GTR;+G+I;37;-2090,20181;4254,40362;4433,42461
TN93;+I;33;-2100,97989;4267,95978;4427,62715
GTR;;35;-2112,41894;4294,83788;4464,18206
