Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-1734,88676;3541,77352;3700,59897
GTR;+G+I;37;-1734,64972;3543,29944;3706,53671
GTR;+I;36;-1737,27858;3546,55716;3705,38261
TN93;+G;33;-1753,36174;3572,72348;3718,31348
GTR;;35;-1752,08353;3574,16706;3728,58069
