Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-1518,24833;3108,49666;3266,05883
GTR;+I;36;-1518,57668;3109,15336;3266,71553
GTR;+G+I;37;-1518,27520;3110,55040;3272,48929
TN93;+G;33;-1523,96023;3113,92046;3258,35244
GTR;;35;-1522,96948;3115,93896;3269,12440
