Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;32;-551,01016;1166,02032;1278,57881
HKY85;+I;32;-551,08902;1166,17804;1278,73653
K80;+G;29;-554,80955;1167,61910;1269,62523
TN93;+G;33;-550,81680;1167,63360;1283,70954
HKY85;+G+I;33;-550,91045;1167,82090;1283,89684
GTR;+G;36;-548,19596;1168,39192;1295,02022
GTR;+I;36;-548,31671;1168,63342;1295,26172
GTR;+G+I;37;-548,03131;1170,06262;1300,20837
HKY85;;31;-554,82859;1171,65718;1280,69821
GTR;;35;-552,06979;1174,13958;1297,25043
