Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-2465,01476;5002,02952;5180,77241
GTR;+I;36;-2465,09753;5002,19506;5180,93795
GTR;+G+I;37;-2464,95106;5003,90212;5187,61009
TN93;+G;33;-2474,03307;5014,06614;5177,91379
GTR;;35;-2496,28651;5062,57302;5236,35083
