Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-1722,02316;3516,04632;3671,91627
GTR;+I;36;-1722,82244;3517,64488;3673,51483
GTR;+G+I;37;-1722,03038;3518,06076;3678,26043
TN93;+G;33;-1729,53393;3525,06786;3667,94864
GTR;;35;-1732,32050;3534,64100;3686,18123
