Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-726,03090;1524,06180;1651,54728
GTR;+G+I;37;-726,03225;1526,06450;1657,09125
GTR;+I;36;-728,36378;1528,72756;1656,21304
GTR;;35;-731,34247;1532,68494;1656,62916
TN93;+G;33;-738,83066;1543,66132;1660,52301
