Model;Decoration;K;Llk;AIC;BIC
GTR;+I;36;-6346,41978;12764,83956;12968,99177
GTR;+G+I;37;-6346,34773;12766,69546;12976,51856
GTR;+G;36;-6347,41305;12766,82610;12970,97831
GTR;;35;-6370,29992;12810,59984;13009,08115
TN93;+I;33;-6395,48393;12856,96786;13044,10738
