Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-813,55146;1699,10292;1832,43908
TN93;+G;33;-817,15495;1700,30990;1822,53472
GTR;+G+I;37;-813,44809;1700,89618;1837,93613
GTR;+I;36;-814,48302;1700,96604;1834,30220
GTR;;35;-819,36137;1708,72274;1838,35512
