Model;Decoration;K;Llk;AIC;BIC
GTR;+G;36;-3369,13718;6810,27436;6985,81988
GTR;+G+I;37;-3369,12292;6812,24584;6992,66763
GTR;+I;36;-3371,31026;6814,62052;6990,16604
TN93;+G;33;-3390,50732;6847,01464;7007,93137
GTR;;35;-3397,35998;6864,71996;7035,38922
