 INFO  | 2017-11-15 CET 00:45:23 |   Processing complete for partition: original_partition_0038_Subset38.phy; Execution time: 0.150 minutes
 INFO  | 2017-11-15 CET 00:45:25 |   Processing complete for partition: original_partition_0039_Subset39.phy; Execution time: 0.033 minutes
 INFO  | 2017-11-15 CET 00:45:37 |   Processing complete for partition: original_partition_0040_Subset40.phy; Execution time: 0.200 minutes
 INFO  | 2017-11-15 CET 00:45:41 |   Processing complete for partition: original_partition_0041_Subset41.phy; Execution time: 0.067 minutes
 INFO  | 2017-11-15 CET 00:45:48 |   Processing complete for partition: original_partition_0042_Subset42.phy; Execution time: 0.117 minutes
 INFO  | 2017-11-15 CET 00:45:58 |   Processing complete for partition: original_partition_0043_Subset43.phy; Execution time: 0.167 minutes
 INFO  | 2017-11-15 CET 00:46:08 |   Processing complete for partition: original_partition_0044_Subset44.phy; Execution time: 0.167 minutes
 INFO  | 2017-11-15 CET 00:46:14 |   Processing complete for partition: original_partition_0045_Subset45.phy; Execution time: 0.100 minutes
 INFO  | 2017-11-15 CET 00:46:18 |   Processing complete for partition: original_partition_0046_Subset46.phy; Execution time: 0.067 minutes
 INFO  | 2017-11-15 CET 00:46:22 |   Processing complete for partition: original_partition_0047_Subset47.phy; Execution time: 0.067 minutes
 INFO  | 2017-11-15 CET 00:46:26 |   Processing complete for partition: original_partition_0048_Subset48.phy; Execution time: 0.067 minutes
 INFO  | 2017-11-15 CET 00:46:31 |   Processing complete for partition: original_partition_0049_Subset49.phy; Execution time: 0.083 minutes
 INFO  | 2017-11-15 CET 00:46:35 |   Processing complete for partition: original_partition_0050_Subset50.phy; Execution time: 0.067 minutes
 INFO  | 2017-11-15 CET 00:46:37 |   Processing complete for partition: original_partition_0051_Subset51.phy; Execution time: 0.033 minutes
 INFO  | 2017-11-15 CET 00:47:01 |   Processing complete for partition: original_partition_0052_Subset52.phy; Execution time: 0.400 minutes
 INFO  | 2017-11-15 CET 00:47:06 |   Processing complete for partition: original_partition_0053_Subset53.phy; Execution time: 0.083 minutes
 INFO  | 2017-11-15 CET 00:47:08 |   Processing complete for partition: original_partition_0054_Subset54.phy; Execution time: 0.033 minutes
 INFO  | 2017-11-15 CET 00:47:43 |   Processing complete for partition: original_partition_0055_Subset55.phy; Execution time: 0.567 minutes
 INFO  | 2017-11-15 CET 00:47:47 |   Processing complete for partition: original_partition_0056_Subset56.phy; Execution time: 0.067 minutes
 INFO  | 2017-11-15 CET 00:47:55 |   Processing complete for partition: original_partition_0057_Subset57.phy; Execution time: 0.133 minutes
 INFO  | 2017-11-15 CET 00:48:07 |   Processing complete for partition: original_partition_0058_Subset58.phy; Execution time: 0.200 minutes
 INFO  | 2017-11-15 CET 00:48:11 |   Processing complete for partition: original_partition_0059_Subset59.phy; Execution time: 0.067 minutes
 INFO  | 2017-11-15 CET 00:48:14 |   Processing complete for partition: original_partition_0060_Subset60.phy; Execution time: 0.050 minutes
 INFO  | 2017-11-15 CET 00:48:20 |   Processing complete for partition: original_partition_0061_Subset61.phy; Execution time: 0.100 minutes
 INFO  | 2017-11-15 CET 00:48:24 |   Processing complete for partition: original_partition_0062_Subset62.phy; Execution time: 0.067 minutes
 INFO  | 2017-11-15 CET 00:48:32 |   Processing complete for partition: original_partition_0063_Subset63.phy; Execution time: 0.133 minutes
 INFO  | 2017-11-15 CET 00:48:39 |   Processing complete for partition: original_partition_0064_Subset64.phy; Execution time: 0.117 minutes
 INFO  | 2017-11-15 CET 00:48:44 |   Processing complete for partition: original_partition_0065_Subset65.phy; Execution time: 0.083 minutes
 INFO  | 2017-11-15 CET 00:48:44 | Extracting information from partitionfinding / modeltesting results
 INFO  | 2017-11-15 CET 00:48:46 | Converting best-fit models to MrBayes lset-commands
 INFO  | 2017-11-15 CET 00:48:50 | Assembling output file
 INFO  | 2017-11-15 CET 00:48:52 | Cleaning up
 INFO  | 2017-11-15 CET 00:48:52 | Processing complete for file: /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW.nex; Execution time: 8.250 minutes
