Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-1165,52656;2375,05312;2467,28509
HKY85;+I;22;-1165,99369;2375,98738;2468,21935
TN93;+G;23;-1165,19144;2376,38288;2472,80721
HKY85;+G+I;23;-1165,32114;2376,64228;2473,06661
GTR;+G;26;-1162,83312;2377,66624;2486,66766
GTR;+I;26;-1163,34599;2378,69198;2487,69340
GTR;+G+I;27;-1162,62447;2379,24894;2492,44272
HKY85;;21;-1173,16727;2388,33454;2476,37415
GTR;;25;-1170,77494;2391,54988;2496,35894
K80;+G;19;-1183,82727;2405,65454;2485,30942
