Model;Decoration;K;Llk;AIC;BIC
GTR;+G;26;-1208,99468;2469,98936;2572,43381
GTR;+I;26;-1209,24265;2470,48530;2572,92975
GTR;+G+I;27;-1209,00548;2472,01096;2578,39558
TN93;+G;23;-1215,25539;2476,51078;2567,13471
GTR;;25;-1232,85980;2515,71960;2614,22388
