Model;Decoration;K;Llk;AIC;BIC
GTR;+G;26;-1127,66620;2307,33240;2419,39027
GTR;+I;26;-1127,83196;2307,66392;2419,72179
GTR;+G+I;27;-1127,57538;2309,15076;2425,51855
TN93;+G;23;-1133,08437;2312,16874;2411,29686
GTR;;25;-1131,82713;2313,65426;2421,40221
