Model;Decoration;K;Llk;AIC;BIC
GTR;+G;26;-1072,82020;2197,64040;2296,17936
TN93;+G;23;-1076,15394;2198,30788;2285,47696
GTR;+G+I;27;-1072,66985;2199,33970;2301,66862
GTR;+I;26;-1074,18685;2200,37370;2298,91266
GTR;;25;-1091,95520;2233,91040;2328,65940
