Model;Decoration;K;Llk;AIC;BIC
TN93;+G;23;-1125,12494;2296,24988;2389,28500
HKY85;+G;22;-1126,18975;2296,37950;2385,36961
TN93;+I;23;-1125,39693;2296,79386;2389,82898
TN93;+G+I;24;-1125,00978;2298,01956;2395,09968
GTR;+G;26;-1123,37955;2298,75910;2403,92923
GTR;+I;26;-1123,51148;2299,02296;2404,19309
GTR;+G+I;27;-1123,35833;2300,71666;2409,93180
TN93;;22;-1139,23035;2322,46070;2411,45081
GTR;;25;-1137,13114;2324,26228;2425,38741
