Model;Decoration;K;Llk;AIC;BIC
GTR;+I;26;-617,27344;1286,54688;1378,72149
GTR;+G;26;-617,29034;1286,58068;1378,75529
TN93;+I;23;-621,05800;1288,11600;1369,65508
GTR;+G+I;27;-617,30165;1288,60330;1384,32309
GTR;;25;-621,87176;1293,74352;1382,37295
