Model;Decoration;K;Llk;AIC;BIC
GTR;+I;26;-700,74739;1453,49478;1548,27639
GTR;+G;26;-701,07742;1454,15484;1548,93645
GTR;;25;-702,35369;1454,70738;1545,84355
TN93;+I;23;-704,42787;1454,85574;1538,70101
GTR;+G+I;27;-700,75582;1455,51164;1553,93870
