Model;Decoration;K;Llk;AIC;BIC
TN93;+G;23;-1097,68015;2241,36030;2330,48370
TN93;+I;23;-1098,65227;2243,30454;2332,42794
TN93;+G+I;24;-1097,66991;2243,33982;2336,33815
GTR;+G;26;-1096,77352;2245,54704;2346,29523
GTR;+G+I;27;-1096,78381;2247,56762;2352,19074
GTR;+I;26;-1097,82511;2247,65022;2348,39841
HKY85;+G;22;-1102,28363;2248,56726;2333,81573
TN93;;22;-1115,23707;2274,47414;2359,72261
GTR;;25;-1114,15961;2278,31922;2375,19248
