Model;Decoration;K;Llk;AIC;BIC
TN93;+I;23;-624,87260;1295,74520;1378,42356
TN93;+G;23;-624,89570;1295,79140;1378,46976
HKY85;+I;22;-625,99830;1295,99660;1375,08025
TN93;+G+I;24;-624,42919;1296,85838;1383,13145
GTR;+I;26;-623,92345;1299,84690;1393,30939
GTR;+G;26;-623,95066;1299,90132;1393,36381
GTR;+G+I;27;-623,59308;1301,18616;1398,24336
TN93;;22;-635,81634;1315,63268;1394,71633
GTR;;25;-634,90288;1319,80576;1409,67354
