Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-954,15343;1952,30686;2038,69923
HKY85;+I;22;-954,75680;1953,51360;2039,90597
HKY85;+G+I;23;-953,88160;1953,76320;2044,08249
TN93;+G;23;-953,96579;1953,93158;2044,25087
K80;+G;19;-959,08293;1956,16586;2030,77745
GTR;+G;26;-952,61048;1957,22096;2059,32103
GTR;+I;26;-953,22996;1958,45992;2060,55999
GTR;+G+I;27;-952,32785;1958,65570;2064,68270
HKY85;;21;-962,67961;1967,35922;2049,82466
GTR;;25;-961,12880;1972,25760;2070,43075
