Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-1356,65281;2757,30562;2850,28942
HKY85;+I;22;-1357,03572;2758,07144;2851,05524
TN93;+G;23;-1356,26203;2758,52406;2855,73440
HKY85;+G+I;23;-1356,65606;2759,31212;2856,52246
GTR;+G;26;-1354,76777;2761,53554;2871,42549
GTR;+I;26;-1355,20361;2762,40722;2872,29717
HKY85;;21;-1360,69947;2763,39894;2852,15621
GTR;+G+I;27;-1354,77003;2763,54006;2877,65655
GTR;;25;-1358,82042;2767,64084;2873,30425
K80;+G;19;-1378,58093;2795,16186;2875,46605
