Model;Decoration;K;Llk;AIC;BIC
TN93;+I;23;-776,28579;1598,57158;1678,62627
HKY85;+I;22;-777,36732;1598,73464;1675,30869
TN93;+G;23;-776,45691;1598,91382;1678,96851
TN93;+G+I;24;-776,27006;1600,54012;1684,07545
GTR;+I;26;-774,58949;1601,17898;1691,67559
GTR;+G;26;-774,70019;1601,40038;1691,89699
GTR;+G+I;27;-774,57034;1603,14068;1697,11793
TN93;;22;-784,35851;1612,71702;1689,29107
GTR;;25;-782,38136;1614,76272;1701,77869
