Model;Decoration;K;Llk;AIC;BIC
GTR;+G;26;-570,68044;1193,36088;1289,39791
GTR;+I;26;-570,68464;1193,36928;1289,40631
TN93;+G;23;-574,22617;1194,45234;1279,40817
GTR;+G+I;27;-570,54099;1195,08198;1294,81274
GTR;;25;-573,83228;1197,66456;1290,00786
