Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-2299,51354;4643,02708;4740,69278
TN93;+G;23;-2299,40342;4644,80684;4746,91189
HKY85;+G+I;23;-2299,51779;4645,03558;4747,14063
GTR;+G;26;-2298,41666;4648,83332;4764,25642
HKY85;+I;22;-2302,77034;4649,54068;4747,20638
GTR;+G+I;27;-2298,42441;4650,84882;4770,71128
GTR;+I;26;-2301,75131;4655,50262;4770,92572
K80;+G;19;-2318,82910;4675,65820;4760,00585
HKY85;;21;-2331,26367;4704,52734;4797,75369
GTR;;25;-2329,76847;4709,53694;4820,52069
