Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-754,15340;1552,30680;1630,47191
TN93;+G;23;-753,45033;1552,90066;1634,61873
HKY85;+I;22;-754,75971;1553,51942;1631,68453
HKY85;+G+I;23;-754,14124;1554,28248;1636,00055
GTR;+G;26;-751,20609;1554,41218;1646,78912
GTR;+I;26;-752,16940;1556,33880;1648,71574
GTR;+G+I;27;-751,19273;1556,38546;1652,31536
HKY85;;21;-761,14579;1564,29158;1638,90373
GTR;;25;-758,11732;1566,23464;1655,05862
K80;+G;19;-771,69304;1581,38608;1648,89231
