Model;Decoration;K;Llk;AIC;BIC
HKY85;+I;22;-809,67565;1663,35130;1753,31028
HKY85;+G;22;-809,68329;1663,36658;1753,32556
HKY85;;21;-811,32327;1664,64654;1750,51648
TN93;+I;23;-809,67543;1665,35086;1759,39889
HKY85;+G+I;23;-809,69202;1665,38404;1759,43207
GTR;+I;26;-808,73707;1669,47414;1775,78930
GTR;+G;26;-808,74282;1669,48564;1775,80080
GTR;;25;-810,46366;1670,92732;1773,15344
GTR;+G+I;27;-808,75172;1671,50344;1781,90765
K80;+I;19;-825,02117;1688,04234;1765,73419
