Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-1549,64718;3143,29436;3235,16343
HKY85;+I;22;-1549,93568;3143,87136;3235,74043
TN93;+G;23;-1549,59450;3145,18900;3241,23394
HKY85;+G+I;23;-1549,65066;3145,30132;3241,34626
K80;+G;19;-1553,78963;3145,57926;3224,92073
GTR;+G;26;-1548,77220;3149,54440;3258,11694
GTR;+I;26;-1549,13498;3150,26996;3258,84250
GTR;+G+I;27;-1548,77856;3151,55712;3264,30553
HKY85;;21;-1561,09296;3164,18592;3251,87913
GTR;;25;-1560,11970;3170,23940;3274,63608
