Model;Decoration;K;Llk;AIC;BIC
GTR;+G;26;-999,44462;2050,88924;2147,95611
GTR;+I;26;-1000,16597;2052,33194;2149,39881
GTR;+G+I;27;-999,44254;2052,88508;2153,68529
TN93;+G;23;-1004,94744;2055,89488;2141,76172
GTR;;25;-1006,88091;2063,76182;2157,09535
