Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-597,53067;1239,06134;1317,73222
HKY85;+I;22;-597,53534;1239,07068;1317,74156
TN93;+G;23;-597,08277;1240,16554;1322,41236
HKY85;+G+I;23;-597,53812;1241,07624;1323,32306
GTR;+G;26;-596,31228;1244,62456;1337,59923
GTR;+I;26;-596,33863;1244,67726;1337,65193
K80;+G;19;-603,98260;1245,96520;1313,90823
HKY85;;21;-602,27136;1246,54272;1321,63765
GTR;+G+I;27;-596,30934;1246,61868;1343,16930
GTR;;25;-600,68381;1251,36762;1340,76634
