Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-1339,38035;2722,76070;2812,31693
HKY85;+I;22;-1339,98919;2723,97838;2813,53461
HKY85;+G+I;23;-1339,35558;2724,71116;2818,33812
TN93;+G;23;-1339,37025;2724,74050;2818,36746
GTR;+G;26;-1338,07485;2728,14970;2833,98888
GTR;+I;26;-1338,82557;2729,65114;2835,49032
GTR;+G+I;27;-1338,02886;2730,05772;2839,96763
K80;+G;19;-1351,52301;2741,04602;2818,39003
HKY85;;21;-1357,20653;2756,41306;2841,89855
GTR;;25;-1355,96818;2761,93636;2863,70480
