Model;Decoration;K;Llk;AIC;BIC
TN93;+G;23;-726,01857;1498,03714;1585,69338
HKY85;+G;22;-727,05672;1498,11344;1581,95854
TN93;+I;23;-726,10806;1498,21612;1585,87236
TN93;+G+I;24;-725,95116;1499,90232;1591,36970
GTR;+G;26;-725,38083;1502,76166;1601,85132
GTR;+I;26;-725,49372;1502,98744;1602,07710
TN93;;22;-729,79972;1503,59944;1587,44454
GTR;+G+I;27;-725,30525;1504,61050;1607,51130
GTR;;25;-729,08830;1508,17660;1603,45512
