Model;Decoration;K;Llk;AIC;BIC
TN93;+I;23;-1003,77139;2053,54278;2150,01410
TN93;+G;23;-1003,77801;2053,55602;2150,02734
TN93;+G+I;24;-1003,78649;2055,57298;2156,23870
GTR;+I;26;-1002,28691;2056,57382;2165,62836
GTR;+G;26;-1002,29814;2056,59628;2165,65082
HKY85;+I;22;-1006,48486;2056,96972;2149,24663
GTR;+G+I;27;-1002,30866;2058,61732;2171,86626
TN93;;22;-1009,51294;2063,02588;2155,30279
GTR;;25;-1008,00000;2066,00000;2170,86013
