Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-835,21981;1714,43962;1797,75136
HKY85;+I;22;-835,50731;1715,01462;1798,32636
HKY85;+G+I;23;-835,07409;1716,14818;1803,24681
TN93;+G;23;-835,17288;1716,34576;1803,44439
GTR;+G;26;-833,66547;1719,33094;1817,79027
GTR;+I;26;-833,95908;1719,91816;1818,37749
GTR;+G+I;27;-833,53419;1721,06838;1823,31460
HKY85;;21;-847,25897;1736,51794;1816,04278
GTR;;25;-846,28085;1742,56170;1837,23413
K80;+G;19;-871,73990;1781,47980;1853,43085
